model,category,gold_count,pred_count,strict_p,strict_r,strict_f1,boundary_p,boundary_r,boundary_f1,partial_p,partial_r,partial_f1
gliner_large_v2.1,person name,76,108,0.4815,0.6842,0.5652,0.5926,0.8421,0.6957,0.537,0.7632,0.6304
gliner_large_v2.1,email address,23,30,0.6,0.7826,0.6792,0.6333,0.8261,0.717,0.6167,0.8043,0.6981
gliner_large_v2.1,phone number,17,45,0.3333,0.8824,0.4839,0.3556,0.9412,0.5161,0.3444,0.9118,0.5
gliner_large_v2.1,street address,42,27,0.2593,0.1667,0.2029,0.4074,0.2619,0.3188,0.3333,0.2143,0.2609
gliner_large_v2.1,url,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gliner_large_v2.1,date,9,26,0.1923,0.5556,0.2857,0.3077,0.8889,0.4571,0.25,0.7222,0.3714
gliner_large_v2.1,MACRO_AVG,167,254,0.3111,0.5119,0.3695,0.3828,0.6267,0.4508,0.3469,0.5693,0.4101
openai_privacy_filter,person name,76,87,0.023,0.0263,0.0245,0.6552,0.75,0.6994,0.3391,0.3882,0.362
openai_privacy_filter,email address,23,23,0.3478,0.3478,0.3478,1.0,1.0,1.0,0.6739,0.6739,0.6739
openai_privacy_filter,phone number,17,33,0.1515,0.2941,0.2,0.5152,1.0,0.68,0.3333,0.6471,0.44
openai_privacy_filter,street address,42,51,0.2157,0.2619,0.2366,0.4902,0.5952,0.5376,0.3529,0.4286,0.3871
openai_privacy_filter,url,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openai_privacy_filter,date,9,34,0.1765,0.6667,0.2791,0.2647,1.0,0.4186,0.2206,0.8333,0.3488
openai_privacy_filter,MACRO_AVG,167,243,0.1524,0.2661,0.1813,0.4875,0.7242,0.5559,0.32,0.4952,0.3686
